2025-09-30T06:29:47+02:00 | requisitos_evento | dur=0.000351s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 19
2025-09-30T06:29:47+02:00 | requisitos_todos | dur=0.000003s | sql=SELECT id, nombre FROM requisitos
2025-09-30T06:36:49+02:00 | requisitos_evento | dur=0.000516s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 19
2025-09-30T06:36:49+02:00 | requisitos_todos | dur=0.000005s | sql=SELECT id, nombre FROM requisitos
2025-09-30T06:36:50+02:00 | requisitos_evento | dur=0.000387s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 19
2025-09-30T06:36:50+02:00 | requisitos_todos | dur=0.000005s | sql=SELECT id, nombre FROM requisitos
2025-09-30T06:40:38+02:00 | requisitos_evento | dur=0.000489s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 19
2025-09-30T06:40:38+02:00 | requisitos_todos | dur=0.000004s | sql=SELECT id, nombre FROM requisitos
2025-09-30T06:49:07+02:00 | requisitos_evento | dur=0.000565s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 19
2025-09-30T06:49:07+02:00 | requisitos_todos | dur=0.000005s | sql=SELECT id, nombre FROM requisitos
2025-09-30T07:50:38+02:00 | requisitos_todos | dur=0.000131s | sql=SELECT id, nombre FROM requisitos
2025-10-01T03:47:41+02:00 | requisitos_todos | dur=0.000115s | sql=SELECT id, nombre FROM requisitos
2025-10-01T03:51:12+02:00 | requisitos_todos | dur=0.000113s | sql=SELECT id, nombre FROM requisitos
2025-10-01T03:51:16+02:00 | requisitos_evento | dur=0.000547s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 19
2025-10-01T03:51:16+02:00 | requisitos_todos | dur=0.000006s | sql=SELECT id, nombre FROM requisitos
2025-10-01T03:53:52+02:00 | requisitos_evento | dur=0.001140s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 19
2025-10-01T03:53:52+02:00 | requisitos_todos | dur=0.000003s | sql=SELECT id, nombre FROM requisitos
2025-10-01T03:54:27+02:00 | requisitos_todos | dur=0.000090s | sql=SELECT id, nombre FROM requisitos
2025-10-01T03:54:30+02:00 | requisitos_evento | dur=0.000351s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 19
